,Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
28340,28411,Text,2009-03-25,Deutsche Lyrik seit Liliencron,de,"Bethge, Hans, 1876-1946 [Editor]",German poetry -- 19th century,PT,DE Lyrik
28423,28494,Text,2009-04-04,Die Kernpunkte der sozialen Frage in den Lebensnotwendigkeiten der Gegenwart und Zukunft,de,"Steiner, Rudolf, 1861-1925",Social sciences,HN,
28592,28664,Text,2009-05-02,Langsam-Schnellzüge in Österreich,de,Ignotus,Railroads -- Austria -- History,TF,DE Sachbuch
28679,28751,Text,2009-05-10,Gösta Berling: Erzählungen aus dem alten Wermland,de,"Lagerlöf, Selma, 1858-1940; Mann, Mathilde, 1859-1925 [Translator]",Swedish fiction -- Translations into German,PT,DE Prosa
28791,28863,Text,2009-05-18,Der Dichter und das Phantasieren,de,"Freud, Sigmund, 1856-1939",Fantasy literature; Psychoanalysis; Creative ability,BF,DE Sachbuch
28793,28865,Text,2009-05-18,Der Judenstaat: Versuch einer modernen Lösung der Judenfrage,de,"Herzl, Theodor, 1860-1904",Zionism,DS,Judaism; DE Sachbuch
28866,28938,Text,2009-05-23,Ferien vom Ich,de,"Keller, Paul, 1873-1932",German fiction -- 20th century,PT,DE Prosa
28877,28949,Text,2009-05-24,Jedermann: Das Spiel vom Sterben des reichen Mannes,de,"Hofmannsthal, Hugo von, 1874-1929",Austrian drama -- 20th century,PT,DE Drama
28934,29006,Text,2009-05-30,"Die Dichtungen von Georg Trakl
Erste Gesamtausgabe",de,"Trakl, Georg, 1887-1914; Röck, Karl [Editor]",Austrian poetry -- 20th century,PT,DE Lyrik
29025,29097,Text,2009-06-11,Eine Schwierigkeit der Psychoanalyse,de,"Freud, Sigmund, 1856-1939",Psychoanalysis,BF,DE Sachbuch
29029,29101,Text,2009-06-12,Einige Charaktertypen aus der psychoanalytischen Arbeit,de,"Freud, Sigmund, 1856-1939",Psychoanalysis,BF,DE Sachbuch
29030,29102,Text,2009-06-12,Nach Amerika! Ein Volksbuch. Fünfter Band,de,"Gerstäcker, Friedrich, 1816-1872; Reinhardt, Karl, 1818-1877 [Illustrator]",Immigrants -- Fiction; German Americans -- Fiction,PT,DE Prosa
29255,29327,Text,2009-07-05,"Student und Alkohol
Vortrag gehalten am 21. Februar 1910",de,"Loewenfeld, Leopold, 1847-1924",Drinking of alcoholic beverages -- Germany; Students -- Germany,HV,Sociology; DE Sachbuch
29264,29336,Text,2009-07-06,"Durch Wüste und Harem
Gesammelte Reiseromane, Band I",de,"May, Karl, 1842-1912",Adventure stories; Middle East -- Fiction; German fiction,PT,DE Prosa
29304,29376,Text,2009-07-11,Bahnwärter Thiel,de,"Hauptmann, Gerhart, 1862-1946",German fiction -- 19th century,PT,DE Prosa
29364,29436,Text,2009-07-18,Meinauer Naturlehre,de,"Wackernagel, Wilhelm, 1806-1869 [Editor]",Science -- Early works to 1800; Astronomy -- Early works to 1800,PT,DE Sachbuch
29392,29464,Text,2009-07-20,Tahiti: Roman aus der Südsee. Zweiter Band.,de,"Gerstäcker, Friedrich, 1816-1872",Tahiti (French Polynesia : Island) -- Fiction,PT,DE Prosa
29393,29465,Text,2009-07-20,"Rudolph von Habsburg: Ein Heldengedicht in zwölf Gesängen.
Johann Ladislav Pyrker's sämmtliche Werke (2/3)",de,"Pyrker, János László, 1772-1847","Rudolf I, King of Germany, 1218-1291 -- Poetry",PT,DE Lyrik
29402,29474,Text,2009-07-21,Lebensbeschreibung des k. k. Kapellmeisters Wolfgang Amadeus Mozart,de,"Niemetschek, Franz Xaver, 1766-1849","Composers -- Austria -- Biography; Mozart, Wolfgang Amadeus, 1756-1791",ML,DE Prosa
29442,29514,Text,2009-07-26,Vergänglichkeit,de,"Freud, Sigmund, 1856-1939",Change,BF,DE Sachbuch
29458,29530,Text,2009-07-28,Achtundvierzig Briefe von Johann Gottlieb Fichte und seinen Verwandten,de,"Fichte, Johann Gottlieb, 1762-1814; Weinhold, Julius Moritz [Editor]","Fichte, Johann Gottlieb, 1762-1814 -- Correspondence; Philosophers -- Germany -- Correspondence",B,Philosophy; DE Prosa; DE Sachbuch
29481,29553,Text,2009-07-31,Bunte Steine: Ein Festgeschenk,de,"Stifter, Adalbert, 1805-1868","Short stories, German",PT,DE Prosa
29512,29584,Text,2009-08-03,Die Piraterie. Beiträge zum internationalen Seerecht,de,"Stiel, Paul, 1882-","Pirates; War, Maritime (International law)",JX,DE Sachbuch
29666,29738,Text,2009-08-19,Stille Helden: Roman,de,"Boy-Ed, Ida, 1852-1928",German fiction -- 20th century,PT,DE Prosa
29674,29746,Text,2009-08-21,Nach Amerika! Ein Volksbuch. Dritter Band,de,"Gerstäcker, Friedrich, 1816-1872; Reinhardt, Karl, 1818-1877 [Illustrator]",Immigrants -- Fiction; German Americans -- Fiction,PT,DE Prosa
29708,29780,Text,2009-08-24,Theorie der Abel'schen Functionen,de,"Weierstrass, Karl, 1815-1897","Functions, Abelian",QA,Mathematics; DE Sachbuch
29724,29796,Text,2009-08-25,"Norwegische Volksmährchen vol. 1
gesammelt von P. Asbjörnsen und Jörgen Moe",de,"Asbjørnsen, Peter Christen, 1812-1885; Moe, Jørgen Engebretsen, 1813-1882; Tieck, Ludwig, 1773-1853 [Commentator]; Bresemann, Friederich, 1809-1850 [Translator]",Fairy tales; Tales -- Norway,PT,DE Kinderbuch
29734,29806,Text,2009-08-26,Elemente der Absoluten Geometrie,de,"Frischauf, Johannes, 1837-1924","Geometry, Non-Euclidean",QA,Mathematics; DE Sachbuch
29833,29905,Text,2009-09-04,Viribus unitis: Wie könnte die europäische Cultur nach Bosnien verpflanzt werden?,de,"Neupauer, Josef von, 1810?-1902",Eastern question (Balkan); Bosnia and Herzegovina -- Politics and government -- 19th century,DR,DE Sachbuch
29869,29941,Text,2009-09-08,Zeitgemäßes über Krieg und Tod,de,"Freud, Sigmund, 1856-1939",Psychoanalysis; War; Death,BF,DE Sachbuch
29874,29946,Text,2009-09-09,Eine Kindheitserinnerung aus »Dichtung und Wahrheit«,de,"Freud, Sigmund, 1856-1939",Psychology,BF,DE Sachbuch
29885,29957,Text,2009-09-10,"Ein Stück Lebensgeschichte, und andere Erzählungen",de,"Lagerlöf, Selma, 1858-1940; Franzos, Marie, 1870-1941 [Translator]",Fiction; Short stories,PT,DE Prosa
29933,30005,Text,2009-09-16,"Zur Geschichte der Theorie der Elliptischen Transcendenten
In den Jahren 1826-29",de,"Koenigsberger, Leo, 1837-1921",Elliptic functions,QA,Mathematics; DE Sachbuch
29970,30042,Text,2009-09-20,Streifzüge an der Riviera,de,"Strasburger, Eduard, 1844-1912",Plants -- France -- Riviera; Riviera (France) -- Description and travel,QK,DE Sachbuch
30005,30077,Text,2009-09-24,Die Hanse und England von Eduards III. bis auf Heinrichs VIII. Zeit,de,"Schulz, Friedrich, 1866-1914",Hanseatic League -- Commerce -- Great Britain; Great Britain -- Commerce -- Hanseatic league,HF,DE Sachbuch
30012,30084,Text,2009-09-25,"Norwegische Volksmährchen vol. 2
gesammelt von P. Asbjörnsen und Jörgen Moe",de,"Asbjørnsen, Peter Christen, 1812-1885; Moe, Jørgen Engebretsen, 1813-1882; Tieck, Ludwig, 1773-1853 [Commentator]; Bresemann, Friederich, 1809-1850 [Translator]",Fairy tales; Tales -- Norway,PT,DE Kinderbuch
30025,30097,Text,2009-09-26,Erinnerungen,de,"Thoma, Ludwig, 1867-1921","Thoma, Ludwig, 1867-1921",PT,DE Prosa
30093,30165,Text,2009-10-03,Die Abenteuer Tom Sawyers,de,"Twain, Mark, 1835-1910; Hellwag, H. [Translator]","Humorous stories; Bildungsromans; Boys -- Fiction; Male friendship -- Fiction; Adventure stories; Missouri -- Fiction; Sawyer, Tom (Fictitious character) -- Fiction; Child witnesses -- Fiction; Runaway children -- Fiction; Mississippi River Valley -- Fiction",PS,DE Kinderbuch
30165,30237,Text,2009-10-12,Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Dritter Band,de,"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859; Beseler, Wilhelm, 1806-1884 [Translator]","Great Britain -- History -- James II, 1685-1688; Great Britain -- History -- William and Mary, 1689-1702",DA,DE Sachbuch
30209,30281,Text,2009-10-19,Die Räuberbande,de,"Frank, Leonhard, 1882-1961",Fiction,PT,DE Prosa
30217,30289,Text,2009-10-19,Nach Amerika! Ein Volksbuch. Sechster Band,de,"Gerstäcker, Friedrich, 1816-1872; Reinhardt, Karl, 1818-1877 [Illustrator]",Immigrants -- Fiction; German Americans -- Fiction,PT,DE Prosa
30259,30331,Text,2009-10-25,Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Vierter Band,de,"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859; Beseler, Wilhelm, 1806-1884 [Translator]","Great Britain -- History -- James II, 1685-1688; Great Britain -- History -- William and Mary, 1689-1702",DA,DE Sachbuch
30497,30570,Text,2009-11-30,Grosser Lärm,de,"Kafka, Franz, 1883-1924",German literature,PT,DE Prosa
30555,30628,Text,2009-12-08,Das rasende Leben: Zwei Novellen,de,"Edschmid, Kasimir, 1890-1966",Fiction,PT,DE Prosa
30558,30631,Text,2009-12-08,Die Colonie: Brasilianisches Lebensbild. Erster Band.,de,"Gerstäcker, Friedrich, 1816-1872",German fiction -- 19th century,PT,DE Prosa
30582,30655,Text,2009-12-12,Ein Hungerkünstler,de,"Kafka, Franz, 1883-1924",Fiction; Short stories,PT,DE Prosa
30622,30695,Text,2009-12-17,Aus meinem Leben,de,"Hindenburg, Paul von, 1847-1934","World War, 1914-1918 -- Germany; World War, 1914-1918 -- Campaigns",D501,DE Prosa; DE Sachbuch
30680,30753,Text,2009-12-25,Der Mord,de,"Kafka, Franz, 1883-1924; Meidner, Ludwig, 1884-1966 [Illustrator]",Short stories,PT,DE Prosa
30689,30762,Text,2009-12-26,Der Moses des Michelangelo,de,"Freud, Sigmund, 1856-1939","Michelangelo Buonarroti, 1475-1564. Moses; Freud, Sigmund, 1856-1939 -- Views on art; Psychoanalysis and art",NB,DE Sachbuch
30720,30793,Text,2009-12-29,Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Zweiter Band,de,"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859; Beseler, Wilhelm, 1806-1884 [Translator]","Great Britain -- History -- James II, 1685-1688; Great Britain -- History -- William and Mary, 1689-1702",DA,DE Sachbuch
30741,30814,Text,2009-12-31,Die Colonie: Brasilianisches Lebensbild. Zweiter Band.,de,"Gerstäcker, Friedrich, 1816-1872",German fiction -- 19th century,PT,DE Prosa
30748,30821,Text,2009-12-31,Beantwortung der Frage: Was ist Aufklärung?,de,"Kant, Immanuel, 1724-1804","Philosophy, Modern -- 18th century; Enlightenment",B,DE Sachbuch
30770,30843,Text,2010-01-04,Massenpsychologie und Ich-Analyse,de,"Freud, Sigmund, 1856-1939",Social psychology; Psychoanalysis; Ego (Psychology),BF,DE Sachbuch
30810,30883,Text,2010-01-07,"Abessinien, das Alpenland unter den Tropen und seine Grenzländer",de,"Andree, Richard, 1835-1912",Ethiopia -- Description and travel,DT,DE Sachbuch
30813,30886,Text,2010-01-07,Vampyrismus,de,"Swieten, Gerard, Freiherr van, 1700-1772",Vampires,BF,DE Sachbuch
30928,31001,Text,2010-01-17,Benno Stehkragen,de,"Ettlinger, Karl, 1882-1939",Fiction,PT,DE Prosa
31001,31074,Text,2010-01-25,Ludwig Tieck's Schriften. Achter Band,de,"Tieck, Ludwig, 1773-1853",German drama -- 19th century,PT,DE Prosa
31041,31114,Text,2010-01-29,Wunderbare Reise des kleinen Nils Holgersson mit den Wildgänsen: Ein Kinderbuch,de,"Lagerlöf, Selma, 1858-1940; Schulz, Wilhelm, 1865-1952 [Illustrator]; Klaiber, Pauline, 1855-1944 [Translator]",Fantasy literature; Conduct of life -- Juvenile fiction; Boys -- Juvenile fiction; Kindness -- Juvenile fiction; Sweden -- Juvenile fiction; Geese -- Juvenile fiction,PZ,DE Prosa; DE Kinderbuch
31056,31129,Text,2010-01-30,Der Löwe von Flandern: ein historische Roman aus Alt-Belgien,de,"Conscience, Hendrik, 1812-1883",Flanders -- History -- Fiction,PT,DE Prosa
